MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindSpeed9am,Humidity,RainToday,RainTomorrow
8,24.3,0,3.4,6.3,6,68,0,1
14,26.9,3.6,4.4,9.7,4,80,1,1
13.7,23.4,3.6,5.8,3.3,6,82,1,1
13.3,15.5,39.8,7.2,9.1,30,62,1,1
7.6,16.1,2.8,5.6,10.6,20,68,1,0
6.2,16.9,0,5.8,8.2,20,70,0,0
6.1,18.2,0.2,4.2,8.4,19,63,0,0
8.3,17,0,5.6,4.6,11,65,0,0
8.8,19.5,0,4,4.1,19,70,0,1
8.4,22.8,16.2,5.4,7.7,7,82,1,0
9.1,25.2,0,4.2,11.9,6,74,0,0
8.5,27.3,0.2,7.2,12.5,2,54,0,0
10.1,27.9,0,7.2,13,6,62,0,0
12.1,30.9,0,6.2,12.4,7,67,0,0
10.1,31.2,0,8.8,13.1,6,45,0,0
12.4,32.1,0,8.4,11.1,7,70,0,0
13.8,31.2,0,7.2,8.4,6,72,0,1
11.7,30,1.2,7.2,10.1,6,59,1,0
12.4,32.3,0.6,7.4,13,4,60,0,0
15.6,33.4,0,8,10.4,2,61,0,0
15.3,33.4,0,8.8,9.5,2,60,0,0
16.4,19.4,0.4,9.2,0,6,88,0,1
12.8,18.5,25.8,2.8,0.6,13,91,1,0
12,24.3,0.4,1.2,7.5,6,74,0,0
15.4,28.4,0,4.4,8.1,9,85,0,0
15.6,26.9,0,6.8,8.9,6,65,0,0
13.3,22.2,0.2,6.6,2.3,20,70,0,0
12.9,28,0,4.4,10.7,6,61,0,0
15.1,24.3,0,7,0.4,7,69,0,0
13.6,24.1,0.4,2.6,0.5,6,83,0,1
15.1,20.4,22.6,2.4,0.2,6,82,1,1
11.6,26.3,4.2,1.6,12,6,66,1,0
16.6,24.2,0.2,6.6,4.7,13,72,0,1
13.3,26.5,6.6,3.8,11.8,20,74,1,0
14.5,21.8,0,8.4,9.8,11,69,0,0
16.3,26.8,0,6,6.3,13,78,0,0
17.2,25.8,0,4.2,8.8,6,70,0,1
16.5,28.2,4,4.2,8.8,7,76,1,0
15,29.4,0,6.6,11.1,9,78,0,0
14.9,24.8,0,10.4,10,11,58,0,0
11.8,18.5,0.6,4.8,2.3,9,60,0,0
11.7,21.5,0,4.2,7.3,15,66,0,0
9.6,20.3,0,5,3.6,22,70,0,0
8.9,27.1,0,4.4,12.7,6,63,0,0
10.1,29.9,0,6.8,8.8,2,63,0,1
15.5,21.1,5.4,6.4,0.9,6,93,1,1
10.8,21.7,1.4,2.8,10.6,13,59,1,0
7.5,20.9,0,6.6,8.7,13,61,0,0
12.8,21,0,6.4,0.8,7,72,0,1
12.6,23.1,3.4,1.6,2.3,4,97,1,1
14.8,29.5,6.4,1.8,8.1,6,81,1,1
19.9,22,11,4.4,5.9,41,92,1,1
9.2,20.4,17.4,7.8,10.2,9,59,1,0
12.4,24.4,0,6.2,12.1,7,69,0,1
11.3,21.7,3.4,8.2,5.6,11,67,1,0
9.8,26.3,0,5.2,13,6,63,0,0
14.3,26.7,0,7.2,7.1,7,68,0,1
15.1,28.3,14.4,8.8,13.2,6,73,1,0
14.4,31.6,0,6.6,13.6,6,65,0,0
15.4,35,0,9.6,13,6,55,0,0
13.8,33.5,0,11.4,13.6,7,44,0,0
13.6,34.2,0,8.8,12.8,2,50,0,0
14.3,35,0,7.6,10.5,2,43,0,0
15.9,23.4,0,12.6,2.2,20,69,0,0
16.7,25.3,0,6.2,12.5,24,56,0,0
12.1,27.5,0,7.4,11.7,7,69,0,0
14.3,34.1,0,6.6,10.5,6,77,0,0
16.5,33.9,0,9,12.6,11,60,0,0
16.5,30.3,0,10,8.1,7,77,0,0
17.5,29.9,0,6.6,8.8,13,74,0,0
14.7,34.2,0,6.6,12.8,6,64,0,0
17.5,35.8,0,9.4,13.3,6,56,0,0
20.9,35.7,0,13.8,6.9,4,61,0,1
17,33.8,2,9,13.5,6,65,1,0
16,22.8,0,12.4,6,13,70,0,0
15.4,33.8,0,5.2,11.1,7,70,0,0
17.9,33.2,0,10.4,8.4,15,58,0,1
15.2,25.1,4.8,6.4,11.6,20,62,1,0
15.1,20.4,0,9.6,0.1,17,63,0,1
15.3,19.6,18.8,5,0,9,92,1,1
17.2,24.7,12.2,1.4,8.1,19,80,1,0
15.9,19.9,0.8,5.6,1.6,17,73,0,0
10,22.5,0,4.4,11.6,11,55,0,0
9.9,24.4,0,5.8,10.8,7,60,0,0
10.3,27.8,0,6.4,9.9,6,64,0,0
15.4,25.7,0,6.8,8.2,9,67,0,0
12.7,28.8,0,7.4,9,4,70,0,0
13.2,31.3,0,6.6,11.6,4,71,0,0
15.3,33.2,0,9.4,13.2,4,60,0,0
17.9,33.9,0,10.4,11.8,6,72,0,0
18,34.9,0,9.2,9.9,6,68,0,1
17.6,27.8,5.2,10.2,3.6,13,66,1,1
16,23.8,2.2,5.4,6.2,11,73,1,0
14.9,28.8,0,5.8,8.1,7,71,0,0
17.1,29.6,0,5.8,9.2,9,67,0,1
18.2,22.6,1.8,8,0,7,92,1,1
